Family	A11	A12	A13	A22	A23	AD11	AD12	AD13	AD21	AD22	AD23	taxonomy
Euzebyaceae	8.71E-05	0.000117157	0.000128171	0.000463152	0.000696145	0.00012583	0.000133872	9.05E-05	0.000107509	0.000110411	3.75E-05	k__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Euzebyales;f__Euzebyaceae
Baekduiaceae	0	0	0	0	4.81E-06	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Baekduiaceae
Rubrobacteraceae	0	3.34E-07	2.46E-06	4.37E-07	2.40E-06	1.38E-06	3.25E-06	0	2.52E-07	0	0	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae
Miltoncostaeaceae	9.38E-06	2.34E-06	2.46E-06	2.14E-05	2.64E-05	6.55E-06	2.27E-06	7.43E-06	6.55E-06	2.14E-06	4.39E-06	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Miltoncostaeales;f__Miltoncostaeaceae
Conexibacteraceae	0	0	0	0.001213099	3.85E-06	0	4.55E-06	0	0	2.75E-06	0	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae
Hydrogenothermaceae	0	0	2.73E-07	0	0	0	0	0	0	0	0	k__Bacteria;p__Aquificae;c__Aquificae;o__Aquificales;f__Hydrogenothermaceae
Bacteroidaceae	0.00011729	0.000126837	0.000162878	0.000298582	0.006333578	0.000170991	0.00012185	0.000215283	7.81E-05	0.000280908	5.57E-05	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae
Barnesiellaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae
Dysgonomonadaceae	8.80E-07	1.00E-06	3.01E-06	2.14E-05	6.92E-05	2.41E-06	5.52E-06	9.70E-07	2.01E-06	1.01E-05	8.44E-07	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae
Muribaculaceae	0	0	0	0	0	0	3.25E-07	0	2.52E-07	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae
Odoribacteraceae	0	6.34E-06	1.37E-06	0	1.92E-05	1.03E-06	0	0	0	6.10E-07	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae
Paludibacteraceae	0	0	0	0	0	0	0	0	2.52E-07	3.05E-07	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae
Porphyromonadaceae	0	0	0	0	9.62E-07	0	0	0	0	3.05E-07	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae
Prevotellaceae	3.81E-05	3.74E-05	2.79E-05	1.75E-06	2.64E-05	5.48E-05	2.96E-05	8.24E-05	8.81E-06	3.66E-06	3.38E-06	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
Rikenellaceae	0	3.00E-05	9.02E-06	0	8.56E-05	1.62E-05	1.17E-05	2.59E-06	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae
