name	A11	A12	A13	A21	A22	A23	AD11	AD12	AD13	AD21	AD22	AD23	CK11	CK12	CK13	CK21	CK22	CK23	DA11	DA12	DA13	DA21	DA22	DA23	taxonomy
Steroidobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65E-05	0	2.54E-05	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Steroidobacteraceae
Alcanivoracaceae	1.08E-05	1.37E-05	2.38E-05	0.000663865	0.000323464	0.000187979	1.65E-05	1.46E-05	2.07E-05	0.000866871	0.00241532	0.000646309	0.000340752	0.000188578	8.57E-05	0.001477421	0.008300854	0.002496216	0.000161903	0.000284206	0.000233662	0.02859522	0.008914478	0.009820599	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Alcanivoracaceae
Endozoicomonadaceae	0	3.34E-07	2.73E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64E-06	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Endozoicomonadaceae
Hahellaceae	0	1.00E-06	1.09E-06	2.54E-06	4.37E-07	0	0	0	0	0	0	1.69E-07	0	0	0	0	7.28E-07	4.10E-06	0	5.32E-07	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Hahellaceae
Halomonadaceae	0.000102922	0.001021703	0.000187201	0.000143858	0.000136632	0.000185094	0.000135138	0.000155643	0.000319692	4.58E-05	4.48E-05	3.38E-05	0.000651916	0.000258783	0.000230727	0.000345993	0.000183412	0.000176368	0.000327167	0.000245886	0.000260855	0.000172745	0.000151136	0.000338566	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae
Oceanospirillaceae	2.55E-05	3.77E-05	5.44E-05	0.000195901	9.65E-05	0.000139421	5.34E-05	2.08E-05	5.04E-05	0.000143765	0.000288838	0.000696636	0.000218456	0.000139897	0.000118153	0.000618617	0.000614285	0.000541407	0.000196076	0.000259724	0.000164671	0.000247483	0.000297149	0.000440795	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae
Oleiphilaceae	2.93E-07	3.00E-06	1.09E-06	1.69E-06	4.37E-07	9.62E-07	0	0	1.94E-06	1.76E-06	3.05E-07	2.36E-06	9.86E-07	1.54E-06	1.01E-06	7.72E-07	7.28E-07	0	5.60E-07	2.66E-06	0	0	3.59E-06	1.65E-06	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oleiphilaceae
Saccharospirillaceae	5.86E-07	6.68E-07	2.19E-06	8.89E-06	1.31E-06	4.81E-06	1.38E-06	6.50E-07	1.29E-06	5.04E-07	1.53E-06	6.76E-07	5.42E-06	2.05E-06	2.03E-06	6.95E-06	1.16E-05	6.56E-06	2.24E-06	1.60E-06	1.51E-06	0	4.10E-06	2.20E-06	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae
Zooshikellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10E-06	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Zooshikellaceae
Orbaceae	0	0	0	0	0	0	0	0	0	0	0	0	6.90E-06	0	8.62E-06	0	0	0	0	0	0	4.23E-06	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Orbales;f__Orbaceae
Pasteurellaceae	2.35E-06	0	4.65E-06	0	1.62E-05	0.000123556	0	0	3.23E-06	1.76E-06	3.05E-06	1.69E-06	0	2.20E-05	0	3.17E-05	1.09E-05	1.07E-05	3.64E-05	0	1.51E-06	7.76E-06	2.92E-05	1.81E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae
Marinobacteraceae	0.001709202	0.008552135	0.014535517	0.055427822	0.056047008	0.03282124	0.004340955	0.014042623	0.00444336	0.005152633	0.009186697	0.006015047	0.005429347	0.017010498	0.005872638	0.040548368	0.0340426	0.029463227	0.03132794	0.023096284	0.025575366	0.021921639	0.009466766	0.02116859	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinobacteraceae
