GeneFamily	AD12	AD22	AD32	CK12	CK22	CK32
K13798	0.813	1.413	0	1.494	5.147	0
K13819	0	1.675	1.085	0	0	7.295
K13821	28.519	12.024	18.687	6.539	23.61	17.719
K13875	1.196	1.293	0.391	1.517	3.312	6.483
K13876	0	2.615	1.889	4.611	5.916	6.615
K13877	31.102	64.105	87.618	31.82	60.086	56.403
K13888	0.199	0	0.127	1.332	0.719	2.243
K13889	0	0	0	0	0	0.634
K13890	0	0	0	0	0	1.141
K13891	0	0	0	0	0	1.155
K13892	8.984	5.19	4.986	3.718	7.471	12.496
K13893	61.305	39.326	33.29	5.69	23.706	26.677
K13894	112.872	107.62	137.908	23.764	53.454	49.641
K13895	55.022	66.213	100.636	19.218	33.367	43.835
K13896	54.3	64.844	91.067	21.212	40.921	47.632
K13918	0	0	0	0	0	0.739
K13920	0	0	0	0	0	1.181
K13924	0	0	0.124	0	0	0
K13926	3.953	3.437	1.385	0	0	0
K13938	0	0.426	1.355	1.296	0	1.535
K13954	26.143	20.619	18.875	1.435	3.023	8.518
K13963	0	0	0	0	1.65	1.206
K13979	1.026	0.522	2.215	0.825	2.397	1.462
K13993	8.031	15.792	23.227	12.193	27.704	13.709
K14048	0.456	0	0	0	0	0
K14052	0	0	0	0	0	2.132
K14053	0	0	0	0	0	1.698
K14054	0	0	0	0	0	0.76
K14055	7.679	9.038	6.259	1.053	2.169	0.549
K14056	6.643	8.796	7.488	0	0	3.232
K14057	0	0	0	0	0	0.58
K14058	181.795	158.148	180.832	36.25	108.866	111.696
K14059	0	1.453	0.337	0.394	0	3.194
K14062	0	0	0	0	0	1.342
K14063	0	0	0	0	0	1.746
K14065	0	0	0	0	0	3.147
K14067	121.15	81.915	60.088	5.825	34.97	47.529
K14083	493.627	359.554	393.638	89.474	244.015	300.97
K14127	9.86	12.445	4.089	0.804	0	10.958
K14138	7.866	12.145	0.995	0	0	17.843
K14153	0.14	0	0.096	0.425	0	0
K14155	121.99	113.434	127.441	17.664	46.697	49.07
K14161	45.247	40.961	47.172	8.392	19.431	8.515
K14162	88.006	61.802	39.418	14.78	46.648	55.012
K14165	0	0	0	0	0	6.931
K14166	0.114	0	0	0	0	0
K14170	20.404	15.372	15.906	2.936	4.58	3.105
K14187	14.061	12.887	12.13	1.068	3.424	0
K14205	0	2.729	0	0	0	0
K14259	0	0	0	0	0.526	0
K14260	45.177	36.279	35.044	5.385	15.551	8.294
K14261	33.153	49.225	9.83	21.673	47.772	47.878
K14266	0.291	1.391	0.745	0.109	5.67	0
K14267	0	0	0.122	0.568	3.089	0.418
K14287	0	3.917	0.985	2.244	2.941	2.628
K14347	0	0.542	0.157	0.857	2.483	3.571
K14348	0	0	0	0	0	4.911
K14387	0	0	0	1.271	0	0
K14392	65.151	40.388	42.534	0	0	2.705
K14393	185.23	190.864	172.221	72.21	149.794	200.147
K14414	0	0	0	0	0	0.912
K14415	0	0	0	1.435	5.054	0.817
K14441	191.857	218.066	168.878	366.807	363.68	310.285
K14445	26.103	41.026	31.654	13.811	29.051	43.676
K14446	171.642	130.879	158.614	38.314	102.023	134.995
K14447	36.383	63.478	105.133	33.535	81.787	93.565
K14448	129.842	98.814	132.888	34.238	80.47	115.069
K14449	126.739	116.649	122.222	34.092	66.665	101.534
K14451	141.226	106.73	129.567	12.867	42.344	41.713
K14470	0	0	0.426	0	12.469	7.958
K14540	42.32	27.51	26.83	2.729	5.762	0.568
K14564	0	0	0	0	5.218	0
K14574	2.032	1.489	0.8	2.806	7.668	3.464
K14588	0	0	0	0	0	0.314
K14591	0	0	0	0	0	0.833
K14623	0	0	0	0	0	1.303
K14645	0.395	0.467	1.23	1.35	2.545	2.579
K14652	217.047	196.617	211.015	91.934	197.249	188.577
K14656	0.711	0	0	0.623	2.207	0
