Taxonomy	CK_Day10	CK_Day25	AOM_Day10	AD_Day10	AOM_Day25	AD_Day25
OTU671	0	0	0	0	1	0
OTU672	1	0	0	1	1	0
OTU673	0	1	0	0	0	0
OTU674	0	1	0	1	1	1
OTU675	0	0	0	0	0	1
OTU676	0	0	0	0	1	1
OTU677	0	0	0	0	1	0
OTU678	1	0	1	0	0	1
OTU679	0	1	0	0	0	0
OTU680	0	0	0	0	0	1
OTU681	0	1	0	0	1	1
OTU682	0	1	1	0	0	0
OTU683	0	1	0	0	1	0
OTU684	1	1	1	1	1	1
OTU685	0	0	0	0	0	0
OTU686	1	0	0	0	0	1
OTU687	1	0	0	1	1	1
OTU688	0	1	0	0	1	0
OTU689	0	0	0	1	0	0
OTU690	1	0	0	0	0	0
OTU691	1	1	0	0	0	1
OTU692	1	1	1	1	1	1
OTU693	1	1	1	0	1	1
OTU694	1	1	1	1	1	1
OTU695	1	0	0	1	0	1
OTU696	0	0	1	0	0	0
OTU697	0	1	0	1	1	0
OTU698	1	0	0	0	0	0
OTU699	0	1	1	0	1	1
OTU700	1	0	0	1	1	1
OTU701	1	0	0	1	1	0
OTU702	1	1	0	0	0	1
OTU703	0	0	0	1	1	0
OTU704	0	1	1	0	0	0
OTU705	1	1	1	1	1	1
OTU706	0	0	1	0	0	0
OTU707	0	0	0	0	0	1
OTU708	0	0	1	0	0	1
OTU709	0	0	0	0	1	1
OTU710	1	1	0	1	1	1
OTU711	0	0	0	0	0	0
OTU712	0	0	0	1	0	0
OTU713	0	0	0	0	1	0
OTU714	1	1	0	1	1	1
OTU715	1	1	1	1	0	1
OTU716	0	1	0	0	1	1
OTU717	0	0	0	0	1	0
OTU718	1	1	1	1	1	0
OTU719	0	1	0	0	0	1
OTU720	0	0	1	0	0	0
OTU721	0	1	0	0	0	1
OTU722	0	0	0	0	1	0
OTU723	0	0	1	0	0	1
OTU724	0	0	0	0	0	1
OTU725	0	0	1	1	0	1
OTU726	0	0	0	0	1	0
OTU727	0	0	0	0	0	1
OTU728	1	1	0	0	0	1
OTU729	0	1	0	0	0	1
OTU730	1	1	0	0	0	1
OTU731	0	0	0	0	0	1
OTU732	0	0	0	0	1	0
OTU733	1	1	1	1	1	1
OTU734	1	1	1	0	1	1
OTU735	1	1	0	0	0	1
OTU736	0	0	0	1	0	0
OTU737	1	1	1	1	1	0
OTU738	1	1	1	1	1	1
OTU739	1	1	1	1	1	1
OTU740	1	1	1	1	1	0
OTU741	0	0	0	0	0	1
OTU742	0	0	0	0	0	1
OTU743	0	1	1	0	0	0
OTU744	0	0	0	0	0	0
OTU745	0	0	0	0	0	1
OTU746	0	1	0	0	1	0
OTU747	0	0	0	0	1	0
OTU748	1	0	1	0	0	0
OTU749	0	0	1	1	0	0
OTU750	0	0	0	1	1	0
OTU751	0	0	1	1	0	1
OTU752	1	0	1	1	0	1
OTU753	1	1	0	0	0	1
OTU754	0	1	0	0	0	0
OTU755	1	1	0	0	1	1
OTU756	0	0	0	0	1	1
OTU757	1	1	0	0	1	1
OTU758	0	0	0	0	1	1
OTU759	0	0	0	0	0	1
OTU760	1	1	1	1	1	1
OTU761	0	0	1	0	1	1
OTU762	0	0	0	0	0	0
OTU763	0	0	1	0	0	1
OTU764	1	1	1	1	0	1
OTU765	1	0	0	1	1	0
OTU766	1	0	0	0	0	0
